run,timestamp,severity,t_curl_start,t_curl_end,latency_ms,http_code
1,2026-05-03T10:59:48+00:00,critical,1777805981.660599673,1777805988.680818593,7020,200
2,2026-05-03T10:59:50+00:00,warning,1777805989.693706229,1777805990.601554923,908,200
3,2026-05-03T10:59:52+00:00,info,1777805991.618401732,1777805992.688371933,1070,200
4,2026-05-03T10:59:54+00:00,critical,1777805993.697796147,1777805994.582468282,885,200
5,2026-05-03T10:59:56+00:00,warning,1777805995.594123499,1777805996.187028775,593,200
6,2026-05-03T10:59:57+00:00,info,1777805997.194020340,1777805997.833580809,640,200
7,2026-05-03T11:00:02+00:00,critical,1777806001.520159024,1777806002.346750365,827,200
8,2026-05-03T11:00:04+00:00,warning,1777806003.367324145,1777806004.393151200,1026,200
9,2026-05-03T11:00:06+00:00,info,1777806005.411924256,1777806006.335900873,924,200
10,2026-05-03T11:00:08+00:00,critical,1777806007.365003568,1777806008.382698170,1018,200
