timestamp,scope,name,cpu_m,mem_mi
2026-05-03T10:50:29+00:00,node,devops-platform-control-plane,1794,1674
2026-05-03T10:50:29+00:00,pod,argocd/argocd-application-controller-0,48,102
2026-05-03T10:50:29+00:00,pod,argocd/argocd-applicationset-controller-68b67f6844-vgcs5,1,51
2026-05-03T10:50:29+00:00,pod,argocd/argocd-redis-66dc48fbfb-75s8t,11,14
2026-05-03T10:50:29+00:00,pod,argocd/argocd-repo-server-7557fc46dc-h5ggj,487,24
2026-05-03T10:50:29+00:00,pod,argocd/argocd-server-6fb595988f-7mp5t,8,49
2026-05-03T10:50:29+00:00,pod,kube-system/coredns-7db6d8ff4d-4dqnc,24,21
2026-05-03T10:50:29+00:00,pod,kube-system/coredns-7db6d8ff4d-k5rfz,9,25
2026-05-03T10:50:29+00:00,pod,kube-system/etcd-devops-platform-control-plane,199,83
2026-05-03T10:50:29+00:00,pod,kube-system/kindnet-7mblk,21,17
2026-05-03T10:50:29+00:00,pod,kube-system/kube-apiserver-devops-platform-control-plane,785,414
2026-05-03T10:50:29+00:00,pod,kube-system/kube-controller-manager-devops-platform-control-plane,276,78
2026-05-03T10:50:29+00:00,pod,kube-system/kube-proxy-6v5f2,26,26
2026-05-03T10:50:29+00:00,pod,kube-system/kube-scheduler-devops-platform-control-plane,17,28
2026-05-03T10:50:29+00:00,pod,kube-system/metrics-server-65d5d6f74d-dkjjq,52,20
2026-05-03T10:50:29+00:00,pod,local-path-storage/local-path-provisioner-988d74bc-sx6c9,9,11
2026-05-03T10:50:29+00:00,pod,platform-tools/n8n-87c6fc6dc-j4rdb,29,280
2026-05-03T10:50:29+00:00,pod,tenant-a/api-service-79fc596f7c-c7vl9,0,5
2026-05-03T10:50:29+00:00,pod,tenant-a/api-service-79fc596f7c-qm5jb,0,5
2026-05-03T10:50:29+00:00,pod,tenant-a/api-service-79fc596f7c-w7nnz,0,8
2026-05-03T10:50:29+00:00,pod,tenant-b/api-service-77db46478b-q6srl,0,8
2026-05-03T10:50:29+00:00,pod,tenant-b/api-service-77db46478b-vx5c4,0,5
